alpha_mmd_loss,angular_mmd_loss,dmet_loss,epoch,grad_cos/alpha_mmd__rest,grad_cos/alpha_mmd__total,grad_cos/angular_mmd__rest,grad_cos/angular_mmd__total,grad_cos/dmet__rest,grad_cos/dmet__total,grad_cos/higgs_mass__rest,grad_cos/higgs_mass__total,grad_cos/huber__rest,grad_cos/huber__total,grad_cos/mass_mmd__rest,grad_cos/mass_mmd__total,grad_cos/w_mass_huber__rest,grad_cos/w_mass_huber__total,higgs_mass_loss,huber_loss,loss,loss_weight/alpha_mmd,loss_weight/angular_mmd,loss_weight/dmet,loss_weight/higgs_mass,loss_weight/huber,loss_weight/mass_mmd,loss_weight/w_mass_huber,mass_mmd_loss,step,test_alpha_mmd_loss,test_angular_mmd_loss,test_dmet_loss,test_higgs_mass_loss,test_huber_loss,test_loss,test_mass_mmd_loss,test_w_mass_huber_loss,val_alpha_mmd_loss,val_angular_mmd_loss,val_dmet_loss,val_higgs_mass_loss,val_huber_loss,val_loss,val_mass_mmd_loss,val_w_mass_huber_loss,w_mass_huber_loss
,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,43077,,,,,,,,,0.02454269863665104,0.002622135914862156,0.3237608075141907,0.13209791481494904,0.13650009036064148,26.7150936126709,0.035343922674655914,0.06570339947938919,
0.02422201819717884,0.0025699192192405462,0.3260376751422882,16,0.4113583266735077,0.41970887780189514,0.029394593089818954,0.1715361773967743,0.12294718623161316,0.12515871226787567,-0.1336662769317627,0.9837993383407593,-0.36406341195106506,-0.30847302079200745,-0.042700789868831635,-0.034686461091041565,-0.5486419796943665,-0.547386109828949,0.187337264418602,0.1365073174238205,29.379167556762695,,,,,,,,0.03601035475730896,43077,,,,,,,,,,,,,,,,,0.06517559289932251
,,,17,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,45611,,,,,,,,,,,,,,,,,
,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,45611,,,,,,,,,0.023276852443814278,0.0026301259640604258,0.33117952942848206,0.16061080992221832,0.13554935157299042,28.027751922607422,0.03236247971653938,0.06443111598491669,
0.022411860525608063,0.0025628262665122747,0.32571423053741455,17,-0.17027628421783447,-0.1583109349012375,-0.016134023666381836,0.11958958208560944,0.35955774784088135,0.3621273636817932,0.18245643377304077,0.9894164800643921,0.5314919352531433,0.5695890784263611,0.039682939648628235,0.04780369624495506,0.6263395547866821,0.627564549446106,0.1830126941204071,0.13614854216575623,29.072389602661133,,,,,,,,0.03384552523493767,45611,,,,,,,,,,,,,,,,,0.06506270170211792
,,,18,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,48145,,,,,,,,,,,,,,,,,
,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,48145,,,,,,,,,0.024038389325141907,0.0026723751798272133,0.33842143416404724,0.14776302874088287,0.13603365421295166,27.570310592651367,0.035482257604599,0.06559210270643234,
0.02228078804910183,0.002570202574133873,0.32633742690086365,18,0.048656437546014786,0.05894869565963745,-0.04193578660488129,0.19249999523162842,0.575227677822113,0.578604519367218,0.07086410373449326,0.9697141051292419,0.38915392756462097,0.4395294487476349,0.07250610738992691,0.0810394212603569,0.5064325928688049,0.507671594619751,0.18246321380138397,0.13582134246826172,29.02632713317871,,,,,,,,0.03396272286772728,48145,,,,,,,,,,,,,,,,,0.06434518843889236
,,,19,,,,,,,,,,,,,,,,,,10.0,2000.0,1.5,50.0,100.0,10.0,2.0,,50679,,,,,,,,,,,,,,,,,
,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,50679,,,,,,,,,0.018939612433314323,0.002635817276313901,0.3267715573310852,0.13627581298351288,0.1348232626914978,26.692058563232422,0.031367313116788864,0.06553608924150467,
